is_customer,duration_mths,credit_hist,purpose,credit_amt,savings,employed,installment_rate_pct,sex_status,guarantors,same_resid_since,property,age,other_installment_plans,housing,n_credits_this_bank,job,dependents,phone,foreign_worker,target
0 - 200k,24,exist paid till now,car (used),12579,< 100k,>= 7 years,4,female:divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
no checking account,24,exist paid till now,radio/television,3430,500k - 1M,>= 7 years,3,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,yes,yes,1
no checking account,9,critical account/  other credits existing (not at this bank),car (new),2134,< 100k,1 - 4 years  ,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,yes,yes,1
<0,6,exist paid till now,radio/television,2647,500k - 1M,1 - 4 years  ,2,male:single,none,3,real estate,44,none,rent,1,skilled employee / official,2,no,yes,1
<0,10,critical account/  other credits existing (not at this bank),car (new),2241,< 100k,< 1 year,1,male:single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,1
0 - 200k,12,critical account/  other credits existing (not at this bank),car (used),1804,100k - 500k,< 1 year,3,male:single,none,4,if not A121 : building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1,no,yes,1
no checking account,10,critical account/  other credits existing (not at this bank),furniture/equipment,2069,unknown/ no savings account,1 - 4 years  ,2,male:married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,no,no,1
<0,6,exist paid till now,furniture/equipment,1374,< 100k,1 - 4 years  ,1,male:single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1
no checking account,6,no credits taken/ all paid,radio/television,426,< 100k,>= 7 years,4,male:married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,no,yes,1
>= 200k,12,this bank all paid,radio/television,409,>= 1M,1 - 4 years  ,3,female:divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,no,yes,1
0 - 200k,7,exist paid till now,radio/television,2415,< 100k,1 - 4 years  ,3,male:single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,no,yes,1
<0,60,delay in paying off in the past,business,6836,< 100k,>= 7 years,3,male:single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,yes,yes,0
0 - 200k,18,exist paid till now,business,1913,>= 1M,< 1 year,3,male:married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,yes,yes,1
<0,24,exist paid till now,furniture/equipment,4020,< 100k,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,no,yes,1
0 - 200k,18,exist paid till now,car (new),5866,100k - 500k,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,yes,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),business,1264,unknown/ no savings account,>= 7 years,4,male:single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,no,yes,1
>= 200k,12,exist paid till now,furniture/equipment,1474,< 100k,< 1 year,4,female:divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
0 - 200k,45,critical account/  other credits existing (not at this bank),radio/television,4746,< 100k,< 1 year,4,male:single,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1,no,yes,0
no checking account,48,critical account/  other credits existing (not at this bank),education,6110,< 100k,1 - 4 years  ,1,male:single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,yes,yes,1
>= 200k,18,exist paid till now,radio/television,2100,< 100k,1 - 4 years  ,4,male:single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,no,yes,0
>= 200k,10,exist paid till now,domestic appliances,1225,< 100k,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,9,exist paid till now,radio/television,458,< 100k,1 - 4 years  ,4,male:single,none,3,real estate,24,none,own,1,skilled employee / official,1,no,yes,1
no checking account,30,exist paid till now,radio/television,2333,500k - 1M,>= 7 years,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,no,yes,1
0 - 200k,12,exist paid till now,radio/television,1158,500k - 1M,1 - 4 years  ,3,male:divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,18,delay in paying off in the past,repairs,6204,< 100k,1 - 4 years  ,2,male:single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1
<0,30,critical account/  other credits existing (not at this bank),car (used),6187,100k - 500k,4 - 7 years,1,male:married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,no,yes,1
<0,48,critical account/  other credits existing (not at this bank),car (used),6143,< 100k,>= 7 years,4,female:divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,no,yes,0
no checking account,11,critical account/  other credits existing (not at this bank),car (new),1393,< 100k,< 1 year,4,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,no,yes,1
no checking account,36,exist paid till now,radio/television,2299,500k - 1M,>= 7 years,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,no,yes,1
<0,6,exist paid till now,car (used),1352,500k - 1M,unemployed,1,female:divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,unemployed/ unskilled  - non-resident,1,yes,yes,1
no checking account,11,critical account/  other credits existing (not at this bank),car (new),7228,< 100k,1 - 4 years  ,1,male:single,none,4,if not A121 : building society savings agreement/ life insurance,39,none,own,2,unskilled - resident,1,no,yes,1
no checking account,12,exist paid till now,radio/television,2073,100k - 500k,1 - 4 years  ,4,female:divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,< 1 year,4,male:single,none,2,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1,no,yes,1
0 - 200k,27,delay in paying off in the past,car (used),5965,< 100k,>= 7 years,1,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
no checking account,12,exist paid till now,radio/television,1262,< 100k,1 - 4 years  ,3,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,no,yes,1
no checking account,18,exist paid till now,car (used),3378,unknown/ no savings account,1 - 4 years  ,2,male:single,none,1,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,36,delay in paying off in the past,car (new),2225,< 100k,>= 7 years,4,male:single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,yes,yes,0
no checking account,6,this bank all paid,car (new),783,unknown/ no savings account,1 - 4 years  ,1,male:single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,no,yes,1
0 - 200k,12,exist paid till now,radio/television,6468,unknown/ no savings account,unemployed,2,male:single,none,1,unknown / no property,52,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
no checking account,36,critical account/  other credits existing (not at this bank),radio/television,9566,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,no,yes,1
>= 200k,18,exist paid till now,car (new),1961,< 100k,>= 7 years,3,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,no,yes,1
<0,36,critical account/  other credits existing (not at this bank),furniture/equipment,6229,< 100k,< 1 year,4,female:divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,yes,yes,0
0 - 200k,9,exist paid till now,business,1391,< 100k,1 - 4 years  ,2,male:married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,15,critical account/  other credits existing (not at this bank),radio/television,1537,unknown/ no savings account,>= 7 years,4,male:single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,yes,yes,1
0 - 200k,36,no credits taken/ all paid,business,1953,< 100k,>= 7 years,4,male:single,none,4,unknown / no property,61,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
0 - 200k,48,no credits taken/ all paid,business,14421,< 100k,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,yes,yes,0
no checking account,24,exist paid till now,radio/television,3181,< 100k,< 1 year,4,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,yes,yes,1
no checking account,27,exist paid till now,repairs,5190,unknown/ no savings account,>= 7 years,4,male:single,none,4,if not A121 : building society savings agreement/ life insurance,48,none,own,4,skilled employee / official,2,yes,yes,1
no checking account,12,exist paid till now,radio/television,2171,< 100k,< 1 year,2,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,no,yes,1
0 - 200k,12,exist paid till now,car (new),1007,>= 1M,1 - 4 years  ,4,male:married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,no,yes,1
no checking account,36,exist paid till now,education,1819,< 100k,1 - 4 years  ,4,male:single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,yes,yes,0
no checking account,36,exist paid till now,radio/television,2394,unknown/ no savings account,1 - 4 years  ,4,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,no,yes,1
no checking account,36,exist paid till now,car (used),8133,< 100k,1 - 4 years  ,1,female:divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,bank,own,1,skilled employee / official,1,no,yes,1
no checking account,7,critical account/  other credits existing (not at this bank),radio/television,730,unknown/ no savings account,>= 7 years,4,male:single,none,2,if not A121 : building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1
<0,8,critical account/  other credits existing (not at this bank),others,1164,< 100k,>= 7 years,3,male:single,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/ highly qualified employee/ officer,2,yes,yes,1
0 - 200k,42,critical account/  other credits existing (not at this bank),business,5954,< 100k,4 - 7 years,2,female:divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,1
<0,36,exist paid till now,education,1977,unknown/ no savings account,>= 7 years,4,male:single,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
<0,12,critical account/  other credits existing (not at this bank),car (used),1526,< 100k,>= 7 years,4,male:single,none,4,unknown / no property,66,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,no,yes,1
<0,42,exist paid till now,radio/television,3965,< 100k,< 1 year,4,male:single,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,no,yes,0
0 - 200k,11,delay in paying off in the past,radio/television,4771,< 100k,4 - 7 years,2,male:single,none,4,if not A121 : building society savings agreement/ life insurance,51,none,own,1,skilled employee / official,1,no,yes,1
no checking account,54,no credits taken/ all paid,car (used),9436,unknown/ no savings account,1 - 4 years  ,2,male:single,none,2,if not A121 : building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,no,yes,1
0 - 200k,30,exist paid till now,furniture/equipment,3832,< 100k,< 1 year,2,male:married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,no,yes,1
no checking account,24,exist paid till now,radio/television,5943,unknown/ no savings account,< 1 year,1,female:divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,yes,yes,0
no checking account,15,exist paid till now,radio/television,1213,500k - 1M,>= 7 years,4,male:single,none,3,if not A121 : building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,yes,yes,1
no checking account,18,exist paid till now,business,1568,100k - 500k,1 - 4 years  ,3,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,no,yes,1
<0,24,exist paid till now,others,1755,< 100k,>= 7 years,4,female:divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1
<0,10,exist paid till now,radio/television,2315,< 100k,>= 7 years,3,male:single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),business,1412,< 100k,1 - 4 years  ,4,female:divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
0 - 200k,18,critical account/  other credits existing (not at this bank),furniture/equipment,1295,< 100k,< 1 year,4,female:divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,no,yes,1
0 - 200k,36,exist paid till now,education,12612,100k - 500k,1 - 4 years  ,1,male:single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,yes,yes,0
<0,18,exist paid till now,car (new),2249,100k - 500k,4 - 7 years,4,male:single,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,yes,yes,1
<0,12,no credits taken/ all paid,repairs,1108,< 100k,4 - 7 years,4,male:single,none,3,real estate,28,none,own,2,skilled employee / official,1,no,yes,0
no checking account,12,critical account/  other credits existing (not at this bank),radio/television,618,< 100k,>= 7 years,4,male:single,none,4,real estate,56,none,own,1,skilled employee / official,1,no,yes,1
<0,12,critical account/  other credits existing (not at this bank),car (used),1409,< 100k,>= 7 years,4,male:single,none,3,real estate,54,none,own,1,skilled employee / official,1,no,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),radio/television,797,unknown/ no savings account,>= 7 years,4,female:divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,no,yes,0
>= 200k,24,critical account/  other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,>= 7 years,4,male:single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,no,yes,1
0 - 200k,12,exist paid till now,car (new),1318,>= 1M,>= 7 years,4,male:single,none,4,real estate,54,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,54,no credits taken/ all paid,business,15945,< 100k,< 1 year,3,male:single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,yes,yes,0
no checking account,12,critical account/  other credits existing (not at this bank),education,2012,unknown/ no savings account,4 - 7 years,4,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,18,exist paid till now,business,2622,100k - 500k,1 - 4 years  ,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,36,critical account/  other credits existing (not at this bank),radio/television,2337,< 100k,>= 7 years,4,male:single,none,4,real estate,36,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 - 7 years,3,male:single,none,4,if not A121 : building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,yes,yes,1
no checking account,24,exist paid till now,car (new),1469,100k - 500k,>= 7 years,4,male:married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,1
0 - 200k,36,exist paid till now,radio/television,2323,< 100k,4 - 7 years,4,male:single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,no,yes,1
no checking account,6,delay in paying off in the past,radio/television,932,< 100k,1 - 4 years  ,3,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,no,yes,1
0 - 200k,9,critical account/  other credits existing (not at this bank),furniture/equipment,1919,< 100k,4 - 7 years,4,male:single,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,yes,yes,1
no checking account,12,exist paid till now,car (used),2445,unknown/ no savings account,< 1 year,2,male:married/widowed,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,yes,yes,1
0 - 200k,24,critical account/  other credits existing (not at this bank),others,11938,< 100k,1 - 4 years  ,2,male:single,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,yes,yes,0
no checking account,18,this bank all paid,car (new),6458,< 100k,>= 7 years,2,male:single,none,4,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,yes,yes,0
0 - 200k,12,exist paid till now,car (new),6078,< 100k,4 - 7 years,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,no,yes,1
<0,24,exist paid till now,furniture/equipment,7721,unknown/ no savings account,< 1 year,1,female:divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,yes,no,1
0 - 200k,14,exist paid till now,business,1410,500k - 1M,>= 7 years,1,male:married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,yes,yes,1
0 - 200k,6,delay in paying off in the past,business,1449,100k - 500k,>= 7 years,1,male:divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,2,skilled employee / official,2,no,yes,1
>= 200k,15,exist paid till now,education,392,< 100k,< 1 year,4,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,yes,yes,1
0 - 200k,18,exist paid till now,car (new),6260,< 100k,4 - 7 years,3,male:single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,1
no checking account,36,critical account/  other credits existing (not at this bank),car (new),7855,< 100k,1 - 4 years  ,4,female:divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,yes,yes,0
<0,12,exist paid till now,radio/television,1680,500k - 1M,>= 7 years,3,male:married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,no,yes,1
no checking account,48,critical account/  other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,>= 7 years,4,male:single,none,1,real estate,47,none,own,1,skilled employee / official,1,yes,yes,1
<0,42,exist paid till now,radio/television,7174,unknown/ no savings account,4 - 7 years,4,female:divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,0
<0,10,critical account/  other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,< 1 year,2,female:divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,no,no,1
<0,33,critical account/  other credits existing (not at this bank),furniture/equipment,4281,500k - 1M,1 - 4 years  ,1,female:divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,no,yes,0
0 - 200k,12,critical account/  other credits existing (not at this bank),car (new),2366,500k - 1M,4 - 7 years,3,male:divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
<0,21,exist paid till now,radio/television,1835,< 100k,1 - 4 years  ,3,female:divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,yes,yes,0
no checking account,24,critical account/  other credits existing (not at this bank),car (used),3868,< 100k,>= 7 years,4,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
no checking account,12,exist paid till now,furniture/equipment,1768,< 100k,1 - 4 years  ,3,male:single,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,1
>= 200k,10,critical account/  other credits existing (not at this bank),car (new),781,< 100k,>= 7 years,4,male:single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,yes,yes,1
0 - 200k,18,exist paid till now,furniture/equipment,1924,unknown/ no savings account,< 1 year,4,female:divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,no,yes,0
<0,12,critical account/  other credits existing (not at this bank),car (new),2121,< 100k,1 - 4 years  ,4,male:single,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,no,yes,1
<0,12,exist paid till now,radio/television,701,< 100k,1 - 4 years  ,4,male:married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,no,yes,1
0 - 200k,12,exist paid till now,repairs,639,< 100k,1 - 4 years  ,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,no,yes,0
0 - 200k,12,critical account/  other credits existing (not at this bank),car (used),1860,< 100k,unemployed,4,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
<0,12,critical account/  other credits existing (not at this bank),car (new),3499,< 100k,1 - 4 years  ,3,female:divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,no,yes,0
0 - 200k,48,exist paid till now,car (new),8487,unknown/ no savings account,4 - 7 years,1,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,no,yes,1
<0,36,delay in paying off in the past,education,6887,< 100k,1 - 4 years  ,4,male:single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,yes,yes,0
no checking account,15,exist paid till now,furniture/equipment,2708,< 100k,< 1 year,2,male:single,none,3,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,no,yes,1
no checking account,18,exist paid till now,furniture/equipment,1984,< 100k,1 - 4 years  ,4,male:single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,no,yes,1
no checking account,60,exist paid till now,radio/television,10144,100k - 500k,4 - 7 years,2,female:divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,yes,yes,1
no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,>= 7 years,4,female:divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,yes,yes,1
no checking account,27,delay in paying off in the past,car (used),8613,>= 1M,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,no,yes,1
0 - 200k,12,exist paid till now,radio/television,766,500k - 1M,1 - 4 years  ,4,male:single,none,3,real estate,66,none,own,1,unskilled - resident,1,no,yes,0
0 - 200k,15,critical account/  other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 - 7 years,4,male:single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,yes,yes,1
>= 200k,12,exist paid till now,radio/television,1881,< 100k,1 - 4 years  ,2,female:divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,yes,yes,1
>= 200k,6,exist paid till now,car (new),709,>= 1M,< 1 year,2,male:married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,no,no,1
0 - 200k,36,exist paid till now,radio/television,4795,< 100k,< 1 year,4,female:divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,yes,yes,1
<0,27,exist paid till now,radio/television,3416,< 100k,1 - 4 years  ,3,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,no,yes,1
<0,18,exist paid till now,furniture/equipment,2462,< 100k,1 - 4 years  ,2,male:single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,no,yes,0
no checking account,21,critical account/  other credits existing (not at this bank),furniture/equipment,2288,< 100k,< 1 year,4,female:divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,yes,yes,1
